"i,358
promise,358
ahead,357
space,357
man's,356
bar,356
laid,356
slide,356
knowledge,354
morning,353
beautiful,353
dogg,353
killer,352
wrote,352
bottle,351
over,,351
voice,351
sayin',351
bite,350
window,350
lips,350
become,350
stuff,349
swing,348
huh,,348
fuck,,348
yellow,348
riding,348
fit,348
hard,,347
stop,,346
serve,346
future,346
rules,345
jesus,345
perfect,345
look,,343
public,342
gots,341
twist,341
be,,341
soldiers,340
50,340
sitting,340
sorry,340
stars,340
extra,340
dog,,340
laugh,339
funk,339
keeps,339
home,,338
hole,338
system,338
smooth,338
shop,337
rough,337
bricks,337
alright,337
and,,337
songs,337
stress,336
..,336
news,336
(repeat,335
anybody,335
store,335
huh,334
keys,333
along,333
feelin',333
least,332
trunk,332
thinkin',332
triple,332
so,,331
do?,331
smokin,331
represent,331
feels,331
rush,330
threw,329
movin,329
(that's,329
level,329
paint,329
cell,328
yeah!,328
aiyyo,328
plenty,327
ridin,327
fill,327
nuts,326
honey,325
order,325
truck,325
ho,,325
queen,325
lies,325
diamond,325
grip,324
knees,323
games,323
na,323
breathe,322
uhh,322
rob,322
trap,321
nigga's,321
selling,321
shout,321
based,320
nation,320
slang,320
scream,320
book,319
feds,319
third,319
bass,319
lets,317
fade,317
album,316
givin,316
bless,316
poor,316
squeeze,315
40,315
that’s,315
bill,315
killing,315
candy,315
brooklyn,314
asked,314
rep,314
up!,314
kid,,314
unless,313
acting,313
mob,313
(chorus),313
actin,313
twenty,313
steel,313
seat,313
brick,312
rap,,312
named,312
shows,312
safe,312
queens,311
pants,310
blew,310
gone,,309
working,309
learned,308
ay,308
wants,308
force,307
finna,307
main,306
single,306
hella,306
tv,306
trees,306
walked,306
squad,306
summer,305
blame,305
sense,305
train,304
(and,304
aim,304
arm,304
streets,,304
question,304
harder,304
struggle,303
thangs,303
eight,303
juice,303
speed,303
dust,303
others,302
arms,302
choose,302
bunch,302
strapped,302
tough,301
calling,301
lines,301
claim,301
course,301
cost,301
up),301
dime,301
you'd,301
brains,301
bullet,300
history,300
smack,300
tomorrow,300
hoes,,299
mental,298
chase,298
dre,298
magic,298
gas,298
price,297
sounds,296
everywhere,296
special,296
trapped,296
you?,295
it'll,295
black,,295
mine,,294
lyrical,294
snoop,293
early,293
court,293
shawty,293
boo,293
teeth,291
mission,291
blaze,291
(what,291
(2x),290
wind,290
two,,290
worse,289
to,,289
takin',289
smokin',289
sittin,288
get,,288
everyone,288
tracks,288
flavor,288
can’t,288
bein,287
projects,287
filled,287
spray,287
vision,287
age,286
sip,286
strange,286
flesh,286
simple,285
doesn't,285
wrist,285
dudes,285
okay,285
says,284
trigger,284
guys,284
waste,282
problems,282
owe,282
(the,282
blocks,281
needs,281
moms,280
yall,280
leaving,280
passed,279
killers,279
moment,279
cover,279
'fore,279
roof,279
everytime,279
jewels,279
style,,278
color,278
duck,278
busy,277
shall,277
hill,277
major,276
not,,276
creep,276
worst,276
legs,276
standing,275
beast,275
soldier,275
em,,275
slick,274
longer,274
homey,274
underground,274
meant,274
loved,274
babies,274
faces,274
booty,273
spent,273
form,273
higher,273
survive,273
almost,272
butt,272
kitchen,272
raps,271
fix,271
judge,270
flows,270
yea,,270
gats,269
within,269
slap,269
mane,269
cake,269
though,,268
finally,268
rhythm,268
them,,268
stacks,267
realize,267
holdin,266
attention,266
fiend,266
ghost,266
beyond,265
clown,265
got,,265
escape,265
naked,264
hour,264
built,264
at,,264
playin',264
twice,264
havin,264
insane,264
chicken,263
afraid,263
nasty,263
broken,263
wide,262
dress,262
ol',262
bird,262
john,262
balls,261
shame,261
spark,260
cap,260
key,260
plate,260
fifty,260
forgive,259
stash,259
through,,259
20,259
bad,,259
betta,259
lives,259
snatch,259
10,258
puff,258
clock,258
building,257
steal,257
tellin,257
doors,257
bus,257
name,,257
range,257
more,,257
bottles,257
side,,257
empty,257
witness,257
prison,256
project,256
jeans,256
bright,255
rollin',254
happened,254
club,,254
ear,254
wu-tang,253
walkin,253
purple,253
art,252
cousin,252
fans,252
joe,252
grew,252
cook,251
message,251
clique,251
looks,251
(it's,250
label,250
grill,250
music,,250
cocaine,250
movie,249
fingers,249
church,249
finish,249
(?),249
north,248
chains,248
rule,248
diss,248
life's,248
blessed,248
dice,248
bleed,248
birds,248
imagine,248
broad,248
em',248
uncle,247
biz,247
mom,247
race,247
mike,247
fifth,247
wicked,247
foot,247
'round,246
human,246
rock,,246
work,,246
limit,246
pictures,246
ridin',246
calm,245
low,,245
favorite,245
strip,245
leather,245
rockin,245
throat,245
cup,245
it!,244
car,,244
prove,244
slip,244
flow,,244
action,244
vest,243
thing,,243
forty,243
sister,243
headed,242
away,,242
(we,241
explain,241
dome,241
joint,241
ooh,241
jealous,241
size,241
nights,241
planet,241
bars,240
pops,240
toast,240
rings,240
eyes,,240
flash,240
want,,240
hat,240
closed,239
pressure,239
seeds,239
date,239
metal,238
iron,238
load,238
then,,238
wreck,238
ends,238
places,237
motherfucker,,237
daughter,237
position,237
hype,237
sack,237
smash,236
cuts,236
begin,236
sight,236
styles,235
players,235
flame,235
putting,235
def,235
top,,235
sellin,235
ride,,234
blunts,234
man?,234
listen,,234
ha,,234
eating,233
you),233
mirror,233
california,233
lane,233
he'll,232
blowing,232
huh?,232
island,232
remain,232
bump,232
rocking,231
shouldn't,230
table,229
silly,229
greatest,229
moves,229
bury,229
killin,228
walls,228
hittin,228
g,,228
live,,228
bags,227
jumped,227
watchin,227
thru,227
lift,227
slave,227
serious,226
nah,,226
gift,226
poppin,226
deserve,226
street,,226
asking,225
stomach,225
plug,224
seeing,224
recognize,224
wine,224
shirt,224
rims,224
popped,224
me!,224
frame,224
hungry,223
fist,223
ma,223
talk,,223
code,223
bloody,223
quiet,223
needed,223
shoulda,222
minds,222
stone,222
swallow,222
come,,222
share,221
fed,221
held,221
girls,,221
"you,221
dick,,221
chips,220
(x2),220
waitin,220
freedom,220
minutes,220
slugs,220
city,,220
choke,220
